cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side,four_vertex_area,four_vertex_signed_area,source_center_theta_rad,source_center_R,source_center_X,source_center_Y
75,8,6,115.8500060000,40.1500000000,3.3980142944,194.691878,0.8857585702,1.7528947846,-1.6955816382,-0.4445706177,0.1016730592,0.0103374110,0.0103374110,3.4354204058,1.5821387343,-1.5143319133,-0.4582159216
76,8,7,115.9500000000,40.1500000000,3.4392430421,197.054111,0.7079740910,1.6017779774,-1.5313449311,-0.4697609933,0.1658110524,0.0274933051,0.0274933051,3.4850206867,1.4447196465,-1.3603565771,-0.4864615504
77,8,8,116.0500000000,40.1500000000,3.5335625325,202.458220,0.4746188603,1.4034260313,-1.2969878723,-0.5361222661,0.2255700408,0.0508818433,0.0508818433,3.5536378417,1.3608186599,-1.2469231381,-0.5449863419
78,8,9,116.1499940000,40.1500000000,3.6499867585,209.128837,0.3218009181,1.2735307804,-1.1124639593,-0.6199230499,0.1735045284,0.0301038214,0.0301038214,3.6535497396,1.3033563548,-1.1362496896,-0.6384938767
79,8,10,116.2500000000,40.1500000000,3.8074514184,218.150897,0.2371050011,1.2015392509,-0.9448743499,-0.7422324665,0.1799669124,0.0323880896,0.0323880896,3.8081814573,1.2120767463,-0.9526140303,-0.7494374879
80,8,11,116.3500060000,40.1500000000,4.0506096654,232.082838,0.1855572676,1.1577236774,-0.7114461206,-0.9133282711,0.2027527538,0.0411086792,0.0411086792,4.0608518283,1.1675137619,-0.7079913107,-0.9283515973
81,8,12,116.4500000000,40.1500000000,4.4342121681,254.061643,0.1479179535,1.1257302605,-0.3091289132,-1.0824545877,0.2993571381,0.0896146961,0.0896146961,4.4634415006,1.1659077038,-0.2872610299,-1.1299654306
82,8,13,116.5500000000,40.1500000000,4.9821478256,285.456043,0.2058441590,1.1749675352,0.3131276861,-1.1324750597,0.2584016432,0.0667714092,0.0667714092,4.9613364601,1.1844861877,0.2918384715,-1.1479711823
83,8,14,116.6499940000,40.1500000000,5.3844463474,308.506051,0.4501750617,1.3826488024,0.8608333843,-1.0819813286,0.3488907563,0.1217247599,0.1217247599,5.3639261325,1.4577504468,0.8839935623,-1.1591340504
84,8,15,116.7500000000,40.1500000000,5.5970716319,320.688582,0.5755784419,1.4892416756,1.1522470961,-0.9434868297,0.3287446570,0.1080730495,0.1080730495,5.6165965034,1.5154585480,1.1910525299,-0.9370210679
85,8,16,116.8500060000,40.1500000000,5.7595053273,329.995347,0.6128913227,1.5209576243,1.3171261822,-0.7605857709,0.2435204977,0.0593022328,0.0593022328,5.7712282212,1.5335001657,1.3368861715,-0.7512377272
86,8,17,116.9500000000,40.1500000000,5.8589618061,335.693784,0.6819845129,1.5796868359,1.4396612226,-0.6502200119,0.2419721547,0.0585505237,0.0585505237,5.8711401190,1.5641342581,1.4332219677,-0.6264110221
87,8,18,117.0500000000,40.1500000000,5.9365865910,340.141356,0.7499689714,1.6374736257,1.5400989145,-0.5562510302,0.1880190193,0.0353511516,0.0353511516,5.9397572741,1.6394510173,1.5437167894,-0.5520308979
88,8,19,117.1499940000,40.1500000000,5.9855474837,342.946609,0.8309532901,1.7063102965,1.6312870646,-0.5003971832,0.1919577175,0.0368477653,0.0368477653,5.9893575549,1.7016363123,1.6287081005,-0.4928245761
89,8,20,117.2500000000,40.1500000000,6.0271910305,345.332608,0.9200115216,1.7820097933,1.7239376862,-0.4512180823,0.1701947108,0.0289662396,0.0289662396,6.0267212210,1.7792149507,1.7210220778,-0.4513190098
90,8,21,117.3500060000,40.1500000000,6.0537241836,346.852846,1.0204938705,1.8674197900,1.8184730466,-0.4247498686,0.1716761370,0.0294726960,0.0294726960,6.0558012683,1.8467201182,1.7991845140,-0.4163055123
91,9,7,115.9500000000,40.2500000000,3.2637374043,186.998379,0.8785920820,1.7468032697,-1.7337888863,-0.2128327068,0.2825001808,0.0798063522,0.0798063522,3.2602339547,1.8219573512,-1.8091496693,-0.2156526463
92,9,8,116.0500000000,40.2500000000,3.2831653941,188.111521,0.6400360646,1.5440306549,-1.5285831015,-0.2178631796,0.2803740549,0.0786096106,0.0786096106,3.2862650393,1.6352188342,-1.6181360146,-0.2357466307
93,9,9,116.1499940000,40.2500000000,3.2872691186,188.346647,0.4694370204,1.3990214674,-1.3842029416,-0.2030844223,0.2277055238,0.0518498056,0.0518498056,3.3267597714,1.4842437877,-1.4588713766,-0.2732653069
94,9,10,116.2500000000,40.2500000000,3.3490959278,191.889062,0.3003696611,1.2553142120,-1.2283856296,-0.2586165421,0.2596116375,0.0673982023,0.0673982023,3.3980600113,1.2841100853,-1.2421095665,-0.3257338423
95,9,11,116.3500060000,40.2500000000,3.5060683445,200.882919,0.1041798723,1.0885528914,-1.0170467060,-0.3880249931,0.3468106508,0.1202776275,0.1202776275,3.5536574138,1.1202716327,-1.0265002320,-0.4486711544
96,9,12,116.4500000000,40.2500000000,4.0178015490,230.203072,-0.1446686224,0.8770316710,-0.5613603550,-0.6738390785,0.5552495177,0.3083020269,0.3083020269,4.0608389694,1.0558396014,-0.6402818466,-0.8395453656
97,9,13,116.5500000000,40.2500000000,5.4083050087,309.873051,-0.0800575798,0.9319510572,0.5974633194,-0.7152414662,0.6792804117,0.4614218778,0.4614218778,5.3639389913,1.1525884513,0.6989522470,-0.9164747102
