row,col,anchor,lon,lat,theta_rad,theta_deg,rho_unclipped,R,X_top_left,Y_top_left,fixed_cell_side
12,7,top_left,115.900003,40.600000,2.4604548622,140.973679,0.9893566770,1.8409531755,-1.4301569566,1.1592064845,0.1684189021
12,9,top_left,116.099997,40.600000,2.2430135637,128.515211,0.9413916579,1.8001829092,-1.1210141811,1.4085402771,0.1684189021
12,10,top_left,116.199997,40.600000,2.0940788453,119.981880,0.8425807324,1.7161936225,-0.8576267258,1.4865385798,0.1684189021
12,11,top_left,116.300003,40.600000,1.9145578599,109.696085,0.6909837831,1.5873362156,-0.5349813968,1.4944668502,0.1684189021
12,12,top_left,116.400003,40.600000,1.7089446791,97.915318,0.6723719358,1.5715161454,-0.2164124595,1.5565438133,0.1684189021
12,13,top_left,116.500000,40.600000,1.4910654579,85.431758,0.4744127281,1.4032508189,0.1117639051,1.3987929404,0.1684189021
12,14,top_left,116.599997,40.600000,1.2804091730,73.362042,0.5292862480,1.4498933108,0.4151380800,1.3891907670,0.1684189021
12,15,top_left,116.699997,40.600000,1.0930298500,62.625997,0.5989598387,1.5091158629,0.6938867980,1.3401312620,0.1684189021
12,16,top_left,116.800003,40.600000,0.9358427908,53.619842,0.7139587982,1.6068649785,0.9530960651,1.2936858003,0.1684189021
12,17,top_left,116.900003,40.600000,0.8080617302,46.298527,0.7864315885,1.6684668502,1.1527454167,1.2062170761,0.1684189021
12,18,top_left,117.000000,40.600000,0.7052776526,40.409433,0.7807401772,1.6636291506,1.2667397962,1.0784397245,0.1684189021
12,19,top_left,117.099997,40.600000,0.6224391527,35.663136,0.8175256249,1.6948967812,1.3770338109,0.9881563553,0.1684189021
12,20,top_left,117.199997,40.600000,0.5551134958,31.805660,0.8307954428,1.7061761264,1.4499777923,0.8992226510,0.1684189021
13,10,top_left,116.199997,40.700000,1.9922529154,114.147684,0.9615545192,1.8173213413,-0.7434480147,1.6582948794,0.1684189021
13,11,top_left,116.300003,40.700000,1.8421125151,105.545273,0.8550120381,1.7267602324,-0.4627712403,1.6635936041,0.1684189021
13,12,top_left,116.400003,40.700000,1.6784196285,96.166361,0.8668965436,1.7368620621,-0.1865661833,1.7268129262,0.1684189021
13,13,top_left,116.500000,40.700000,1.5087869001,86.447122,0.6139384023,1.5218476420,0.0943084340,1.5189226987,0.1684189021
13,14,top_left,116.599997,40.700000,1.3426216236,76.926553,0.6273935503,1.5332845178,0.3468288269,1.4935431622,0.1684189021
13,15,top_left,116.699997,40.700000,1.1882625368,68.082428,0.7278518452,1.6186740684,0.6042062206,1.5016792543,0.1684189021
13,16,top_left,116.800003,40.700000,1.0508437874,60.208914,0.8018147272,1.6815425181,0.8354558192,1.4593145015,0.1684189021
13,17,top_left,116.900003,40.700000,0.9320263394,53.401176,0.9223784443,1.7840216776,1.0636487135,1.4322656041,0.1684189021
14,13,top_left,116.500000,40.800001,1.5200687744,87.093525,0.7516722207,1.6389213876,0.0831028187,1.6368131342,0.1684189021
14,14,top_left,116.599997,40.800001,1.3831417708,79.248186,0.6837591646,1.5811952899,0.2949801113,1.5534366028,0.1684189021
14,15,top_left,116.699997,40.800001,1.2529413240,71.788250,0.8525332329,1.7246532479,0.5390054161,1.6382618799,0.1684189021
14,16,top_left,116.800003,40.800001,1.1329594380,64.913794,0.9259695725,1.7870741366,0.7576861793,1.6185010421,0.1684189021
15,12,top_left,116.400003,40.900001,1.6453830280,94.273503,0.9912363903,1.8425509318,-0.1373024068,1.8374280898,0.1684189021
15,13,top_left,116.500000,40.900001,1.5278794339,87.541043,0.8887540102,1.7554409087,0.0753149446,1.7538245189,0.1684189021
15,14,top_left,116.599997,40.900001,1.4115445486,80.875545,0.8056339944,1.6847888952,0.2671729758,1.6634699344,0.1684189021
15,15,top_left,116.699997,40.900001,1.2993796156,74.448968,0.9608263133,1.8167023663,0.4870516433,1.7501966131,0.1684189021
