cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
94,9,10,0,1,1,1,1,1.2841100853,194.694497,190.883555,3.810942,186.797646,194.969464,8.171818,1.1416666667,1.2833333333,4,2,2,2
95,9,11,0,0,0,2,1,1.1202716327,203.609572,190.529164,13.080408,186.797646,194.260682,7.463036,1.0000000000,1.1416666667,4,2,2,1
96,9,12,0,0,0,7,5,1.0558396014,232.668934,235.346425,2.677491,232.392662,238.300188,5.907526,1.0000000000,1.1416666667,4,1,3,2
97,9,13,0,0,0,15,11,1.1525884513,307.331066,325.178904,17.847839,324.428904,325.928904,1.500000,1.0000000000,1.1416666667,4,2,2,1
98,9,14,0,0,0,16,12,1.1880428789,336.390428,340.292420,3.901992,325.928904,354.655936,28.727032,1.0000000000,1.1416666667,4,3,1,1
99,9,15,0,1,1,17,17,1.2597438261,345.305503,358.384792,13.079289,344.294575,372.475009,28.180434,1.1416666667,1.2833333333,4,4,0,4
100,9,16,1,2,1,17,20,1.3425367329,349.390706,15.523408,26.132703,371.475551,379.571265,8.095714,1.2833333333,1.4250000000,4,3,1,2
101,9,17,1,2,1,18,19,1.4349976195,351.710883,3.975388,12.264505,356.475225,371.475551,15.000326,1.2833333333,1.4250000000,4,2,2,2
102,9,18,2,2,0,18,18,1.5274640541,353.202354,353.025160,0.177194,349.575095,356.475225,6.900131,1.2833333333,1.4250000000,4,3,1,2
103,9,19,3,3,0,18,19,1.6504602500,354.240431,1.786098,7.545667,351.322215,372.249981,20.927766,1.4250000000,1.5666666667,4,4,0,3
104,9,20,4,4,0,17,19,1.7531205437,355.004237,355.357530,0.353293,352.801152,357.913907,5.112755,1.5666666667,1.7083333333,3,3,0,2
105,10,7,5,4,1,30,34,1.8040795909,173.202354,177.569496,4.367142,528.341346,546.797646,18.456300,1.5666666667,1.7083333333,3,3,0,1
106,10,8,2,3,1,29,31,1.5916110298,171.710883,178.115297,6.404414,529.432948,546.797646,17.364698,1.4250000000,1.5666666667,4,3,1,1
107,10,9,1,1,0,29,26,1.4410657543,169.390706,171.897931,2.507225,516.998216,546.797646,29.799430,1.1416666667,1.2833333333,4,2,2,3
108,10,10,0,0,0,30,22,1.2920108698,165.305503,145.909823,19.395680,491.571043,520.248603,28.677560,1.0000000000,1.1416666667,4,3,1,1
109,10,11,0,0,0,29,23,1.1741898300,156.390428,173.523125,17.132696,520.248603,546.797646,26.549043,1.0000000000,1.1416666667,4,2,2,1
110,10,12,0,0,0,28,20,1.1160280282,127.331066,107.836713,19.494353,463.505991,472.167434,8.661443,1.0000000000,1.1416666667,4,1,3,2
111,10,13,0,0,0,22,15,1.0972007262,52.668934,41.873121,10.795813,387.048322,416.697921,29.649599,1.0000000000,1.1416666667,4,2,2,1
112,10,14,0,0,0,19,14,1.1396137546,23.609572,25.215645,1.606074,383.382968,387.048322,3.665354,1.0000000000,1.1416666667,4,2,2,1
113,10,15,0,0,0,18,13,1.2813141119,14.694497,9.019452,5.675045,354.655936,383.382968,28.727032,1.0000000000,1.1416666667,4,3,1,1
114,10,16,1,1,0,19,18,1.4067386835,10.609294,17.959379,7.350084,372.475009,383.443749,10.968740,1.1416666667,1.2833333333,4,4,0,1
115,10,17,2,2,0,19,21,1.5266453044,8.289117,21.640408,13.351291,379.571265,383.709551,4.138286,1.2833333333,1.4250000000,4,3,1,1
116,10,18,3,3,0,19,20,1.6401466787,6.797646,17.957909,11.160263,372.249981,383.665836,11.415856,1.4250000000,1.5666666667,4,3,1,3
117,10,19,4,4,0,18,20,1.7439376407,5.759569,6.909735,1.150167,357.913907,375.905563,17.991656,1.5666666667,1.7083333333,4,4,0,1
118,10,20,5,5,0,17,18,1.8477410583,4.995763,6.222306,1.226543,357.312566,375.132046,17.819480,1.7083333333,1.8500000000,3,3,0,1
119,11,6,4,5,1,29,34,1.7642616682,163.165122,174.781403,11.616282,522.765161,546.797646,24.032485,1.7083333333,1.8500000000,2,2,0,2
120,11,7,3,4,1,29,33,1.6137956420,160.323265,165.279124,4.955858,522.216901,528.341346,6.124445,1.5666666667,1.7083333333,4,4,0,0
121,11,8,2,3,1,28,30,1.5225720013,156.391830,158.106482,1.714652,506.780017,529.432948,22.652931,1.4250000000,1.5666666667,4,4,0,2
122,11,9,1,2,1,28,28,1.4435695557,150.667346,164.993713,14.326367,503.189781,546.797646,43.607865,1.2833333333,1.4250000000,4,4,0,3
123,11,10,1,1,0,27,25,1.4358987829,141.807646,143.639829,1.832183,490.281443,516.998216,26.716772,1.1416666667,1.2833333333,4,4,0,1
124,11,11,1,1,0,26,24,1.3480726371,127.330697,122.526784,4.803913,474.772125,490.281443,15.509318,1.1416666667,1.2833333333,4,3,1,1
125,11,12,0,0,0,27,21,1.2706587357,104.263822,121.869239,17.605416,472.167434,491.571043,19.403609,1.0000000000,1.1416666667,4,3,1,1
126,11,13,0,0,0,24,16,1.2032737452,75.736178,57.447921,18.288257,416.697921,418.197921,1.500000,1.0000000000,1.1416666667,4,1,3,2
127,11,14,0,0,0,23,18,1.2915924626,52.669303,73.164700,20.495397,432.414700,433.914700,1.500000,1.0000000000,1.1416666667,4,2,2,1
128,11,15,0,0,0,21,17,1.3207311446,38.192354,65.306310,27.113956,418.197921,432.414700,14.216779,1.0000000000,1.1416666667,4,3,1,1
129,11,16,0,1,1,20,19,1.3324059748,29.332654,41.553104,12.220450,383.443749,419.662460,36.218712,1.1416666667,1.2833333333,4,4,0,4
130,11,17,1,2,1,20,22,1.4188534681,23.608170,37.258697,13.650527,383.709551,410.807844,27.098293,1.2833333333,1.4250000000,4,4,0,3
131,11,18,3,3,0,20,21,1.6551051499,19.676735,24.415836,4.739102,383.665836,385.165836,1.500000,1.4250000000,1.5666666667,4,3,1,1
132,11,19,4,4,0,19,21,1.7495162669,16.834878,24.351480,7.516602,375.905563,392.797397,16.891834,1.5666666667,1.7083333333,4,4,0,3
133,11,20,5,5,0,18,19,1.8439387141,14.694122,19.500946,4.806824,375.132046,383.869846,8.737800,1.7083333333,1.8500000000,3,2,1,1
134,12,6,5,5,0,29,33,1.8129399117,153.237965,156.771777,3.533812,510.778393,522.765161,11.986768,1.7083333333,1.8500000000,2,2,0,1
135,12,7,4,4,0,28,32,1.7288082331,149.205428,157.068373,7.862945,511.919846,522.216901,10.297055,1.5666666667,1.7083333333,3,3,0,1
136,12,8,3,4,1,28,31,1.6877275315,143.929142,142.636436,1.292706,493.353027,511.919846,18.566819,1.5666666667,1.7083333333,3,3,0,2
137,12,9,3,3,0,27,29,1.6766713854,136.876850,139.660153,2.783303,492.540288,506.780017,14.239729,1.4250000000,1.5666666667,4,3,1,2
