cell_id,layer,slot_in_layer,source_radius,source_theta_deg,theta_left_deg,theta_right_deg,r_inner,r_outer
75,3,4,1.5821387343,196.8350901102,184.2729864980,200.2217421452,1.4922821116,1.6000134268
62,3,5,1.6013635439,203.6083941801,200.2217421452,205.1853066677,1.4922821116,1.6000134268
63,3,6,1.5540978834,206.7622191553,205.1853066677,210.9927624252,1.4922821116,1.6000134268
50,3,7,1.5365719919,215.2233056950,210.9927624252,218.7274588823,1.4922821116,1.6000134268
35,3,8,1.5635032086,222.2316120696,218.7274588823,224.6213670050,1.4922821116,1.6000134268
36,3,9,1.5495666037,227.0111219405,224.6213670050,229.8397211146,1.4922821116,1.6000134268
37,3,10,1.5025522675,232.6683202886,229.8397211146,235.9959944275,1.4922821116,1.6000134268
38,3,11,1.5292727952,239.3236685663,235.9959944275,243.1805124509,1.4922821116,1.6000134268
39,3,12,1.5286066523,247.0373563356,243.1805124509,252.6439128628,1.4922821116,1.6000134268
26,3,13,1.5843045308,258.2504693900,252.6439128628,262.1421538838,1.4922821116,1.6000134268
27,3,14,1.5466323036,266.0338383775,262.1421538838,270.4387871097,1.4922821116,1.6000134268
42,3,15,1.5552208911,274.8437358418,270.4387871097,279.5534750494,1.4922821116,1.6000134268
43,3,16,1.5534515915,284.2632142570,279.5534750494,291.4215314111,1.4922821116,1.6000134268
59,3,17,1.5213971702,298.5798485653,291.4215314111,310.1935617198,1.4922821116,1.6000134268
84,3,18,1.5154585480,321.8072748743,310.1935617198,326.2371472780,1.4922821116,1.6000134268
85,3,19,1.5335001657,330.6670196818,326.2371472780,333.5292847162,1.4922821116,1.6000134268
86,3,20,1.5641342581,336.3915497506,333.5292847162,344.7969519606,1.4922821116,1.6000134268
102,3,21,1.5274640541,353.2023541706,344.7969519606,0.7457356413,1.4922821116,1.6000134268
115,3,22,1.5266453045,8.2891171120,0.7457356413,17.5255759904,1.4922821116,1.6000134268
147,3,23,1.5651550499,26.7620348688,17.5255759904,28.7783033005,1.4922821116,1.6000134268
146,3,24,1.5897240702,30.7945717323,28.7783033005,33.4327147000,1.4922821116,1.6000134268
145,3,25,1.5422044504,36.0708576677,33.4327147000,39.5970039873,1.4922821116,1.6000134268
144,3,26,1.5334172246,43.1231503070,39.5970039873,52.2715821018,1.4922821116,1.6000134268
155,3,27,1.5710920621,61.4200138966,52.2715821018,66.6601278568,1.4922821116,1.6000134268
154,3,28,1.5028654508,71.9002418170,66.6601278568,78.5282529877,1.4922821116,1.6000134268
165,3,29,1.5537618229,85.1562641584,78.5282529877,106.2439964941,1.4922821116,1.6000134268
87,4,1,1.6394510173,340.3230231376,316.6428333997,347.2817271925,1.6000134268,1.6999882585
103,4,2,1.6504602500,354.2404312474,347.2817271925,0.5190385390,1.6000134268,1.6999882585
116,4,3,1.6401466787,6.7976458307,0.5190385390,13.2371902405,1.6000134268,1.6999882585
131,4,4,1.6551051499,19.6767346504,13.2371902405,36.1722818916,1.6000134268,1.6999882585
156,4,5,1.6804031118,52.6678291328,36.1722818916,64.2023074386,1.6000134268,1.6999882585
166,4,6,1.6098153277,75.7367857444,64.2023074386,76.9936275684,1.6000134268,1.6999882585
171,4,7,1.6454719594,78.2504693924,76.9936275684,82.1421538854,1.6000134268,1.6999882585
170,4,8,1.6760988830,86.0338383783,82.1421538854,90.4387871101,1.6000134268,1.6999882585
164,4,9,1.6361565535,94.8437358419,90.4387871101,101.4717470138,1.6000134268,1.6999882585
151,4,10,1.6528675377,108.0997581857,101.4717470138,122.4883039394,1.6000134268,1.6999882585
137,4,11,1.6766713854,136.8768496931,122.4883039394,140.4029960127,1.6000134268,1.6999882585
136,4,12,1.6877275315,143.9291423323,140.4029960127,152.1262038397,1.6000134268,1.6999882585
120,4,13,1.6137956420,160.3232653471,152.1262038397,174.3061912313,1.6000134268,1.6999882585
92,4,14,1.6352188342,188.2891171155,174.3061912313,194.6889194680,1.6000134268,1.6999882585
61,4,15,1.6814801872,201.0887218206,194.6889194680,206.2753538017,1.6000134268,1.6999882585
49,4,16,1.6489864756,211.4619857828,206.2753538017,214.8272317088,1.6000134268,1.6999882585
34,4,17,1.6362292396,218.1924776349,214.8272317088,221.0345824852,1.6000134268,1.6999882585
20,4,18,1.6770950678,223.8766873355,221.0345824852,225.9237745478,1.6000134268,1.6999882585
21,4,19,1.6720853620,227.9708617601,225.9237745478,230.3196468377,1.6000134268,1.6999882585
22,4,20,1.6142314704,232.6684319153,230.3196468377,235.3521298704,1.6000134268,1.6999882585
23,4,21,1.6355803053,238.0358278255,235.3521298704,241.0732946750,1.6000134268,1.6999882585
24,4,22,1.6465270294,244.1107615245,241.0732946750,247.4955145158,1.6000134268,1.6999882585
25,4,23,1.6541017798,250.8802675071,247.4955145158,255.4494116633,1.6000134268,1.6999882585
13,4,24,1.6762398533,260.0185558194,255.4494116633,263.3305248597,1.6000134268,1.6999882585
14,4,25,1.6494547773,266.6424939000,263.3305248597,270.3043277606,1.6000134268,1.6999882585
28,4,26,1.6749196021,273.9661616212,270.3043277606,277.8578461150,1.6000134268,1.6999882585
29,4,27,1.6690883915,281.7495306089,277.8578461150,285.4346315514,1.6000134268,1.6999882585
30,4,28,1.6827034645,289.1197324939,285.4346315514,291.0411880778,1.6000134268,1.6999882585
