cell_id,row,col,corner_index,source_lon,source_lat,theta_rad,theta_deg,rho_unclipped,R,annulus_x,annulus_y
97,9,13,4,116.5000000000,40.3000000000,4.7123889804,270.000000,0.0000013299,1.0000011304,-0.0000000000,-1.0000011304
98,9,14,1,116.5999940000,40.2000000000,5.3639148810,307.329684,0.3590151133,1.3051628463,0.7914513314,-1.0378125290
98,9,14,2,116.6999940000,40.2000000000,5.7028699882,326.750381,0.3854213112,1.3276081146,1.1102651325,-0.7279111494
98,9,14,3,116.6999940000,40.3000000000,6.2831787511,359.999624,0.2549500722,1.2167075614,1.2167075613,-0.0000079769
98,9,14,4,116.5999940000,40.3000000000,6.2831721945,359.999249,0.1274704502,1.1083498826,1.1083498825,-0.0000145334
99,9,15,1,116.7000000000,40.2000000000,5.7028837441,326.751170,0.3854274881,1.3276133649,1.1102795363,-0.7278987552
99,9,15,2,116.8000000000,40.2000000000,5.8711388958,336.391480,0.4424590722,1.3760902114,1.2609158427,-0.5511038990
99,9,15,3,116.8000000000,40.3000000000,6.2831809366,359.999750,0.3824373430,1.3250717415,1.3250717415,-0.0000057914
99,9,15,4,116.7000000000,40.3000000000,6.2831787512,359.999624,0.2549577210,1.2167140628,1.2167140628,-0.0000079767
100,9,16,1,116.8000060000,40.2000000000,5.8711462350,336.391900,0.4424629379,1.3760934972,1.2609228981,-0.5510959608
100,9,16,2,116.9000060000,40.2000000000,5.9664276387,341.851122,0.5162614082,1.4388221970,1.3672413047,-0.4481746637
100,9,16,3,116.9000060000,40.3000000000,6.2831820293,359.999812,0.5099246138,1.4334359217,1.4334359217,-0.0000046987
100,9,16,4,116.8000060000,40.3000000000,6.2831809366,359.999750,0.3824449918,1.3250782430,1.3250782430,-0.0000057913
101,9,17,1,116.9000000000,40.2000000000,5.9664231989,341.850868,0.5162552788,1.4388169870,1.3672343641,-0.4481791112
101,9,17,2,117.0000000000,40.2000000000,6.0267204031,345.305643,0.6111522216,1.5194793884,1.4697813843,-0.3854352008
101,9,17,3,117.0000000000,40.3000000000,6.2831826848,359.999850,0.6373965870,1.5417870990,1.5417870990,-0.0000040431
101,9,17,4,116.9000000000,40.3000000000,6.2831820292,359.999812,0.5099169650,1.4334294203,1.4334294203,-0.0000046987
102,9,18,1,117.0000000000,40.2000000000,6.0267204031,345.305643,0.6111522216,1.5194793884,1.4697813843,-0.3854352008
102,9,18,2,117.1000000000,40.2000000000,6.0680345349,347.672769,0.6994117497,1.5944999872,1.5577375403,-0.3404173392
102,9,18,3,117.1000000000,40.3000000000,6.2831831219,359.999875,0.7648762091,1.6501447777,1.6501447777,-0.0000036061
102,9,18,4,117.0000000000,40.3000000000,6.2831826848,359.999850,0.6373965870,1.5417870990,1.5417870990,-0.0000040431
103,9,19,1,117.0999940000,40.2000000000,6.0680324492,347.672649,0.6994053918,1.5944945830,1.5577315507,-0.3404194344
103,9,19,2,117.1999940000,40.2000000000,6.0980153456,349.390543,0.8059487574,1.6850564438,1.6562503577,-0.3102417950
103,9,19,3,117.1999940000,40.3000000000,6.2831834340,359.999893,0.8923481823,1.7584959550,1.7584959550,-0.0000032939
103,9,19,4,117.0999940000,40.3000000000,6.2831831218,359.999875,0.7648685603,1.6501382762,1.6501382762,-0.0000036061
104,9,20,1,117.2000000000,40.2000000000,6.0980168967,349.390632,0.8059552844,1.6850619918,1.6562562921,-0.3102402474
104,9,20,2,117.3000000000,40.2000000000,6.1207298350,350.691987,0.9147393252,1.7775284264,1.7541238983,-0.2875007059
104,9,20,3,117.3000000000,40.3000000000,6.2831836682,359.999906,1.0198354531,1.8668601351,1.8668601351,-0.0000030598
104,9,20,4,117.2000000000,40.3000000000,6.2831834341,359.999893,0.8923558311,1.7585024564,1.7585024564,-0.0000032939
105,10,7,1,115.9000000000,40.3000020000,3.1415904683,179.999875,1.0754153787,1.9141030719,-1.9141030719,0.0000041829
105,10,7,2,116.0000000000,40.3000020000,3.1415900312,179.999850,0.8961792583,1.7617523695,-1.7617523695,0.0000046200
105,10,7,3,116.0000000000,40.4000020000,2.8851277495,165.305643,0.6870841031,1.5840214876,-1.5322124885,0.4018071221
