cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side
46,6,2,115.4500000000,39.9500000000,3.5536364438,203.608370,0.9904805034,1.8419084279,-1.6877484914,-0.7376528227,0.1554741767
47,6,3,115.5500000000,39.9500000000,3.5916046781,205.783790,0.9405188353,1.7994410100,-1.6202920317,-0.7827143033,0.1554741767
48,6,4,115.6499940000,39.9500000000,3.6366468160,208.364514,0.8697642015,1.7392995713,-1.5304844473,-0.8263052433,0.1554741767
49,6,5,115.7500000000,39.9500000000,3.6907078947,211.461986,0.7635135007,1.6489864756,-1.4065634340,-0.8606600390,0.1554741767
50,6,6,115.8500060000,39.9500000000,3.7563553114,215.223306,0.6312611669,1.5365719919,-1.2552415798,-0.8862404090,0.1554741767
51,6,7,115.9500000000,39.9500000000,3.8369562503,219.841399,0.5388159726,1.4579935767,-1.1194778076,-0.9340849576,0.1554741767
52,6,8,116.0500000000,39.9500000000,3.9368004268,225.562049,0.4925083754,1.4186321191,-0.9932360262,-1.0129162282,0.1554741767
53,6,9,116.1499940000,39.9500000000,4.0608224372,232.667987,0.4598575720,1.3908789362,-0.8434745552,-1.1059362051,0.1554741767
54,6,10,116.2500000000,39.9500000000,4.2135765232,241.420151,0.4890536515,1.4156956038,-0.6772447580,-1.2431949084,0.1554741767
55,6,11,116.3500060000,39.9500000000,4.3964902937,251.900338,0.4913431647,1.4176416900,-0.4404198979,-1.3474933301,0.1554741767
56,6,12,116.4500000000,39.9500000000,4.6038647400,263.782019,0.4122931341,1.3504491640,-0.1462689607,-1.3425045012,0.1554741767
57,6,13,116.5500000000,39.9500000000,4.8209132208,276.217981,0.5123846682,1.4355269680,0.1554838518,-1.4270817943,0.1554741767
58,6,14,116.6499940000,39.9500000000,5.0282876671,288.099662,0.5025008835,1.4271257510,0.4433663188,-1.3565080967,0.1554741767
59,6,15,116.7500000000,39.9500000000,5.2112014376,298.579849,0.6134084356,1.5213971703,0.7278105941,-1.3360168744,0.1554741767
60,7,3,115.5500000000,40.0500000000,3.4738511714,199.037011,0.9071318003,1.7710620303,-1.6741992374,-0.5776829827,0.1554741767
61,7,4,115.6499940000,40.0500000000,3.5096602844,201.088722,0.8017413967,1.6814801872,-1.5688620075,-0.6050186951,0.1554741767
62,7,5,115.7500000000,40.0500000000,3.5536368632,203.608394,0.7074865222,1.6013635439,-1.4673359267,-0.6413193261,0.1554741767
63,7,6,115.8500060000,40.0500000000,3.6086814930,206.762219,0.6518798628,1.5540978834,-1.3876274764,-0.6997929821,0.1554741767
64,7,7,115.9500000000,40.0500000000,3.6790628403,210.794773,0.5577755450,1.4741092132,-1.2662695483,-0.7546915951,0.1554741767
65,7,8,116.0500000000,40.0500000000,3.7711516912,216.071076,0.4432244112,1.3767407495,-1.1128019537,-0.8106089706,0.1554741767
66,7,9,116.1499940000,40.0500000000,3.8942376017,223.123379,0.3556672196,1.3023171367,-0.9505396758,-0.8902270773,0.1554741767
67,7,10,116.2500000000,40.0500000000,4.0608312544,232.668492,0.3284662930,1.2791963490,-0.7757376071,-1.0171403366,0.1554741767
68,7,11,116.3500060000,40.0500000000,4.2832487243,245.412075,0.3456288396,1.2937845136,-0.5383297253,-1.1764690708,0.1554741767
69,7,12,116.4500000000,40.0500000000,4.5610226441,261.327348,0.2972856633,1.2526928138,-0.1888922796,-1.2383694895,0.1554741767
70,7,13,116.5500000000,40.0500000000,4.8637553167,278.672652,0.3579659837,1.3042710862,0.1966697151,-1.2893580144,0.1554741767
71,7,14,116.6499940000,40.0500000000,5.1415292364,294.587925,0.4009293636,1.3407899591,0.5578881821,-1.2192122418,0.1554741767
72,7,15,116.7500000000,40.0500000000,5.3639467063,307.331508,0.8975751214,1.7629388532,1.0690915187,-1.4017834087,0.1554741767
73,7,16,116.8500060000,40.0500000000,5.5305403591,316.876621,0.9807061760,1.8336002496,1.3383144073,-1.2533971528,0.1554741767
74,7,17,116.9500000000,40.0500000000,5.6536262696,323.928924,0.9726356081,1.8267402669,1.4765308128,-1.0755634623,0.1554741767
75,8,6,115.8500060000,40.1500000000,3.4354204058,196.835090,0.6848690992,1.5821387343,-1.5143319133,-0.4582159216,0.1554741767
76,8,7,115.9500000000,40.1500000000,3.4850206867,199.676977,0.5231995841,1.4447196465,-1.3603565771,-0.4864615504,0.1554741767
77,8,8,116.0500000000,40.1500000000,3.5536378417,203.608450,0.4244925410,1.3608186599,-1.2469231381,-0.5449863419,0.1554741767
78,8,9,116.1499940000,40.1500000000,3.6535497396,209.332980,0.3568898292,1.3033563548,-1.1362496896,-0.6384938767,0.1554741767
79,8,10,116.2500000000,40.1500000000,3.8081814573,218.192725,0.2495020545,1.2120767463,-0.9526140303,-0.7494374879,0.1554741767
80,8,11,116.3500060000,40.1500000000,4.0608518283,232.669671,0.1970750139,1.1675137619,-0.7079913107,-0.9283515973,0.1554741767
81,8,12,116.4500000000,40.1500000000,4.4634415006,255.736360,0.1951855338,1.1659077038,-0.2872610299,-1.1299654306,0.1554741767
