cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
117,10,19,4,4,0,18,21,1.7187967917,6.009257,12.405829,6.396573,360.736425,384.075234,23.338809,1.5666666667,1.7083333333,4,4,0,0
118,10,20,5,5,0,18,19,1.8363201214,5.189430,10.764570,5.575140,357.211327,384.317812,27.106485,1.7083333333,1.8500000000,3,3,0,2
119,11,6,4,5,1,28,34,1.7671332218,163.757483,175.859674,12.102191,524.720969,546.998379,22.277410,1.7083333333,1.8500000000,2,2,0,2
120,11,7,3,4,1,29,33,1.6478794427,160.932706,161.295800,0.363094,515.447413,527.144187,11.696773,1.5666666667,1.7083333333,4,4,0,2
121,11,8,2,3,1,28,32,1.5468120900,156.498309,170.385158,13.886849,513.771938,546.998379,33.226441,1.4250000000,1.5666666667,4,4,0,3
122,11,9,1,2,1,28,27,1.4603914637,150.937438,150.632371,0.305067,498.510368,522.754373,24.244005,1.2833333333,1.4250000000,4,4,0,2
123,11,10,1,1,0,27,24,1.4009966495,141.041652,144.395167,3.353515,490.194097,518.596238,28.402141,1.1416666667,1.2833333333,4,4,0,4
124,11,11,0,0,0,27,20,1.3150576266,127.957628,128.934738,0.977109,476.018080,501.851396,25.833316,1.0000000000,1.1416666667,4,4,0,0
125,11,12,0,0,0,26,19,1.1960936001,106.762912,115.268080,8.505168,474.518080,476.018080,1.500000,1.0000000000,1.1416666667,4,2,2,1
126,11,13,0,0,0,23,15,1.1708207547,73.792068,65.702459,8.089609,424.533294,426.871625,2.338331,1.0000000000,1.1416666667,4,1,3,2
127,11,14,0,0,0,22,16,1.2606839090,52.061478,68.040790,15.979313,426.871625,429.209956,2.338331,1.0000000000,1.1416666667,4,2,2,1
128,11,15,0,0,0,20,14,1.3159883242,38.867578,52.884991,14.017413,401.236689,424.533294,23.296605,1.0000000000,1.1416666667,4,2,2,2
129,11,16,1,1,0,20,17,1.3817642147,28.309683,36.195067,7.885384,389.794988,402.595145,12.800156,1.1416666667,1.2833333333,4,4,0,3
130,11,17,1,2,1,19,21,1.4848147482,20.227634,35.523567,15.295934,389.249741,401.797393,12.547652,1.2833333333,1.4250000000,4,4,0,2
131,11,18,2,3,1,19,24,1.5546274478,19.272208,27.456836,8.184628,383.620868,391.292805,7.671937,1.4250000000,1.5666666667,4,4,0,1
132,11,19,4,4,0,19,22,1.7011363643,17.172492,27.486996,10.314504,384.075234,390.898757,6.823523,1.5666666667,1.7083333333,4,4,0,0
133,11,20,5,5,0,19,20,1.8607239213,14.829876,27.489377,12.659501,384.317812,390.660942,6.343131,1.7083333333,1.8500000000,3,2,1,1
134,12,6,5,5,0,30,33,1.7938715702,153.255978,160.751938,7.495960,516.782906,524.720969,7.938063,1.7083333333,1.8500000000,2,2,0,1
135,12,7,4,5,1,27,32,1.7428928647,149.314023,147.741348,1.572676,498.699789,516.782906,18.083117,1.7083333333,1.8500000000,3,3,0,1
136,12,8,4,4,0,26,32,1.7112448122,143.513152,147.488328,3.975176,499.529243,515.447413,15.918170,1.5666666667,1.7083333333,3,3,0,2
137,12,9,3,3,0,28,31,1.6560396500,136.394606,143.382992,6.988387,492.994047,513.771938,20.777891,1.4250000000,1.5666666667,4,3,1,3
138,12,10,2,2,0,27,26,1.5673401679,127.634148,126.226844,1.407304,473.943319,498.510368,24.567049,1.2833333333,1.4250000000,4,3,1,3
139,12,11,1,1,0,26,23,1.4666572377,114.964622,121.605761,6.641138,473.017424,490.194097,17.176673,1.1416666667,1.2833333333,4,3,1,3
140,12,12,0,0,0,25,18,1.3672334330,100.090663,107.723970,7.633307,460.929860,474.518080,13.588220,1.0000000000,1.1416666667,4,4,0,0
141,12,13,0,0,0,24,17,1.3132879093,80.876297,85.069908,4.193611,429.209956,460.929860,31.719904,1.0000000000,1.1416666667,4,3,1,2
142,12,14,1,1,0,22,19,1.3794690602,64.666767,67.123656,2.456890,424.435427,429.811886,5.376460,1.1416666667,1.2833333333,4,4,0,2
143,12,15,1,1,0,21,18,1.4653765747,52.430258,53.515286,1.085027,402.595145,424.435427,21.840282,1.1416666667,1.2833333333,4,4,0,1
144,12,16,2,2,0,22,22,1.5243639878,43.463643,45.616185,2.152542,401.797393,409.434977,7.637584,1.2833333333,1.4250000000,4,4,0,2
145,12,17,2,3,1,21,26,1.5472518919,36.681995,43.997515,7.315519,400.443224,407.551805,7.108581,1.4250000000,1.5666666667,4,4,0,1
146,12,18,2,3,1,20,25,1.5704677922,30.752180,35.868015,5.115835,391.292805,400.443224,9.150419,1.4250000000,1.5666666667,4,4,0,1
147,12,19,3,4,1,21,23,1.6585951782,25.264491,34.725736,9.461245,390.898757,398.552715,7.653957,1.5666666667,1.7083333333,4,4,0,3
148,12,20,5,5,0,20,23,1.8448485676,19.753763,36.142303,16.388540,394.553243,397.731363,3.178120,1.7083333333,1.8500000000,3,2,1,1
149,13,9,5,5,0,29,31,1.8046219320,127.497849,129.500649,2.002800,480.301508,498.699789,18.398281,1.7083333333,1.8500000000,2,1,1,2
150,13,10,3,4,1,27,31,1.6938607210,118.956434,129.167130,10.210695,478.805016,499.529243,20.724227,1.5666666667,1.7083333333,4,3,1,3
151,13,11,3,3,0,26,30,1.5993299505,109.541363,122.605102,13.063739,472.216156,492.994047,20.777891,1.4250000000,1.5666666667,4,2,2,3
152,13,12,1,1,0,25,22,1.4721531305,95.637346,106.424501,10.787155,459.831578,473.017424,13.185846,1.1416666667,1.2833333333,4,2,2,2
153,13,13,1,1,0,24,21,1.4232241185,84.481196,95.221622,10.740426,450.611666,459.831578,9.219912,1.1416666667,1.2833333333,4,4,0,0
154,13,14,1,1,0,23,20,1.4844175187,70.895073,80.211776,9.316703,429.811886,450.611666,20.799780,1.1416666667,1.2833333333,4,4,0,1
155,13,15,2,2,0,23,23,1.5715543630,61.153203,61.134447,0.018755,409.434977,432.833917,23.398939,1.2833333333,1.4250000000,4,4,0,3
156,13,16,3,3,0,22,27,1.6666874807,52.508130,58.584204,6.076074,407.551805,429.616603,22.064798,1.4250000000,1.5666666667,4,4,0,2
157,13,17,4,4,0,22,25,1.7338120984,45.822115,48.942497,3.120382,400.526096,417.358898,16.832802,1.5666666667,1.7083333333,3,3,0,2
158,13,18,4,4,0,21,24,1.7502063807,39.981351,39.539405,0.441946,398.552715,400.526096,1.973381,1.5666666667,1.7083333333,3,3,0,1
159,13,19,4,5,1,20,24,1.7679012393,35.673062,47.873985,12.200923,397.731363,418.016608,20.285245,1.7083333333,1.8500000000,3,2,1,3
160,13,20,5,5,0,22,22,1.7827542720,31.861076,33.803243,1.942166,393.053243,394.553243,1.500000,1.7083333333,1.8500000000,3,2,1,1
161,13,21,5,5,0,21,21,1.8291566152,28.175566,31.857093,3.681527,390.660942,393.053243,2.392300,1.7083333333,1.8500000000,1,1,0,2
162,14,10,5,5,0,28,30,1.8292521648,112.889121,113.214652,0.325531,466.127797,480.301508,14.173711,1.7083333333,1.8500000000,2,2,0,2
163,14,11,4,4,0,25,30,1.7129444393,104.984411,112.406132,7.421721,466.007248,478.805016,12.797769,1.5666666667,1.7083333333,3,3,0,2
164,14,12,2,3,1,26,29,1.5765495504,94.913149,101.948779,7.035630,451.681401,472.216156,20.534755,1.4250000000,1.5666666667,4,3,1,3
165,14,13,2,2,0,25,25,1.5287403296,85.389075,102.304919,16.915843,450.666518,473.943319,23.276801,1.2833333333,1.4250000000,4,3,1,2
166,14,14,2,2,0,24,24,1.5792380679,75.270982,81.750217,6.479235,432.833917,450.666518,17.832601,1.2833333333,1.4250000000,4,3,1,1
167,14,15,3,3,0,23,28,1.6841310097,66.828635,80.649002,13.820367,429.616603,451.681401,22.064798,1.4250000000,1.5666666667,4,3,1,3
168,14,16,4,4,0,23,26,1.7626032486,59.180317,64.670040,5.489723,417.358898,431.981183,14.622285,1.5666666667,1.7083333333,2,2,0,3
169,15,12,4,4,0,24,29,1.7163118267,94.307381,102.118979,7.811598,458.230710,466.007248,7.776538,1.5666666667,1.7083333333,3,3,0,1
170,15,13,3,4,1,25,28,1.6477471984,86.191589,94.604136,8.412547,450.977562,458.230710,7.253147,1.5666666667,1.7083333333,4,3,1,1
171,15,14,3,4,1,24,27,1.6866230942,78.014597,81.479372,3.464775,431.981183,450.977562,18.996379,1.5666666667,1.7083333333,4,3,1,3
172,15,15,5,5,0,23,25,1.7979057664,70.661919,67.800495,2.861424,418.016608,437.584382,19.567774,1.7083333333,1.8500000000,2,1,1,3
173,16,12,5,5,0,27,29,1.8601254131,93.566214,101.857321,8.291107,457.586846,466.127797,8.540951,1.7083333333,1.8500000000,2,2,0,1
174,16,13,5,5,0,26,28,1.7861712579,86.448445,93.929755,7.481310,450.272664,457.586846,7.314182,1.7083333333,1.8500000000,3,3,0,0
175,16,14,5,5,0,24,27,1.8057758988,80.204022,85.373437,5.169415,440.474211,450.272664,9.798453,1.7083333333,1.8500000000,3,3,0,0
176,17,14,5,5,0,25,26,1.9159017299,82.162965,79.029296,3.133669,437.584382,440.474211,2.889829,1.7083333333,1.8500000000,1,1,0,2
